EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
9980461,D,3/9/92 22:00,,,
10063573,D,3/10/92 0:57,,,
9980483,D,3/10/92 2:08,,,
9999200,D,4/20/92 15:45,,,
10150471,D,5/27/92 18:44,,,
10043063,D,6/13/92 16:25,,,
10047270,D,6/16/92 16:06,,,
10055393,D,6/17/92 18:48,,,
10156512,D,6/1/92 16:40,,,
9982755,D,7/5/92 12:30,,,
10115202,D,7/15/92 15:30,,,
10027323,D,7/13/92 14:05,,,
10009699,D,7/8/92 10:30,,,
10044797,D,8/25/92 20:10,,,
10162791,D,8/29/92 19:10,,,
10096190,D,9/9/92 20:00,,,
10001377,D,10/3/92 8:40,,,
10001379,D,10/3/92 9:30,,,
10062523,D,11/21/92 23:35,,,
10062527,D,11/22/92 0:29,,,
10062534,D,11/22/92 1:36,,,
10062535,D,11/22/92 2:14,,,
10062536,D,11/22/92 2:15,,,
10109884,D,11/22/92 17:55,,,
10090844,D,11/23/92 1:20,,,
10120394,D,11/22/92 3:50,,,
10031845,D,11/22/92 15:52,,,
10010604,D,11/22/92 15:45,,,
10010606,D,11/22/92 16:07,,,
10009523,D,11/22/92 12:10,,,
