EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
9979430,D,02/13/1952 20:00:00,,,
9979434,D,02/13/1952 21:30:00,,,
10126035,D,02/13/1952 22:40:00,,,
10126037,D,02/29/1952 16:00:00,,,
10126038,D,02/29/1952 16:30:00,,,
9983013,D,03/21/1952 14:40:00,,,
9983015,D,03/21/1952 16:50:00,,,
9983017,D,03/21/1952 17:00:00,,,
9983018,D,03/21/1952 17:00:00,,,
9983019,D,03/21/1952 17:20:00,,,
9983020,D,03/21/1952 17:20:00,,,
9983022,D,03/21/1952 17:30:00,,,
9983025,D,03/21/1952 18:00:00,,,
9983026,D,03/21/1952 18:45:00,,,
9983027,D,03/21/1952 18:45:00,,,
9983028,D,03/21/1952 19:00:00,,,
9983029,D,03/21/1952 19:00:00,,,
9979437,D,03/22/1952 15:00:00,,,
10063632,D,03/21/1952 20:00:00,,,
10047289,D,03/21/1952 22:00:00,,,
10126041,D,03/21/1952 18:00:00,,,
10126042,D,03/21/1952 20:30:00,,,
10126043,D,03/21/1952 20:30:00,,,
10126257,D,03/21/1952 22:00:00,,,
10126258,D,03/21/1952 22:45:00,,,
10126260,D,03/21/1952 23:00:00,,,
10126262,D,03/21/1952 23:30:00,,,
10126264,D,03/22/1952 00:01:00,,,
10126265,D,03/22/1952 00:20:00,,,
10126266,D,03/22/1952 01:00:00,,,
10032667,D,04/04/1952 03:30:00,,,
10117456,D,05/10/1952 14:15:00,,,
10146814,D,06/23/1952 21:30:00,,,
10072247,D,07/19/1952 18:30:00,,,
10089665,D,07/01/1952 18:00:00,,,
10063636,D,08/21/1952 00:20:00,,,
